id,slug,pattern,meaning,level,lesson,course_group,category,source_url,verification
jp-g-0179,あまり-ない,あまり～ない →  あまり～ない,"Not very, Not much, Not really, Hardly",N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/あまり-ない,source-indexed
jp-g-0180,ば,ば,"If… then, (Conditional)",N4,3,N4 Lesson 3,conditional,https://bunpro.jp/grammar_points/ば,source-indexed
jp-g-0181,なら,なら,"Were it, If, If it's the case, As for (Conditional)",N4,3,N4 Lesson 3,conditional,https://bunpro.jp/grammar_points/なら,source-indexed
jp-g-0182,がる,がる,"To feel, To think, To act as if, To want, To desire",N4,3,N4 Lesson 3,conditional,https://bunpro.jp/grammar_points/がる,source-indexed
jp-g-0183,がする,がする,"To give off, Smell, Sound, Taste, Sensation",N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/がする,source-indexed
jp-g-0184,たがる,たがる,To want to (Third person),N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/たがる,source-indexed
jp-g-0185,かもしれない,かもしれない,"Might, Maybe, Probably",N4,4,N4 Lesson 4,modality,https://bunpro.jp/grammar_points/かもしれない,source-indexed
jp-g-0186,みたいに-みたいな,みたいに・みたいな →  みたいに,"Like, Similar to, Resembling",N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/みたいに-みたいな,source-indexed
jp-g-0187,そうに-そうな,そうに・そうな  → そうに,"Seem, Look like, Sound",N4,4,N4 Lesson 4,modality,https://bunpro.jp/grammar_points/そうに-そうな,source-indexed
jp-g-0188,のように-のような,のように・のような  → のように,"Like (Noun), Similar to (Noun)",N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/のように-のような,source-indexed
jp-g-0189,ようと思う-おうと思う,〜ようと思う・〜おうと思う →  う・よう + とおもう,"I think I will, I think I shall, Going to, Gonna (Volitional + と思う)",N4,4,N4 Lesson 4,verb-form,https://bunpro.jp/grammar_points/ようと思う-おうと思う,source-indexed
jp-g-0190,describing-verbs,く・に,"～ly (Describing verbs), Adverbs",N4,4,N4 Lesson 4,verb-form,https://bunpro.jp/grammar_points/describing-verbs,source-indexed
jp-g-0191,にする-くする,～にする・～くする →  にする・くする,"Adjective + する, To make something/someone (more)",N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/にする-くする,source-indexed
jp-g-0192,といい,といい,"I hope, I wish, You should, It would be good",N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/といい,source-indexed
jp-g-0193,ようになる,ようになる →  ようになる,"To reach the point that, To come to be that, To turn into",N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/ようになる,source-indexed
jp-g-0194,まい-のように,まい～のように →  まい～のように,"Almost every ~, Nearly every ~, On a ~ basis",N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/まい-のように,source-indexed
jp-g-0195,じゃないか,じゃないか,"Isn't it?, Is it not?",N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/じゃないか,source-indexed
jp-g-0196,らしい1,らしい ①,"Seems like, Apparently, I heard",N4,4,N4 Lesson 4,modality,https://bunpro.jp/grammar_points/らしい1,source-indexed
jp-g-0197,ておく,ておく →  ～ておく,To do something in advance,N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/ておく,source-indexed
jp-g-0198,がほしい,がほしい →  がほしい,"To want something, To be in need of",N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/がほしい,source-indexed
jp-g-0199,てほしい,てほしい →  ～てほしい,I want you to,N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/てほしい,source-indexed
jp-g-0200,ときいた,ときいた →  ときいた,I heard that,N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/ときいた,source-indexed
jp-g-0201,聞こえる,聞こえる →  きこえる,"To be audible, To sound (like), (Can) hear, To be heard",N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/聞こえる,source-indexed
jp-g-0202,見える,見える →  みえる,"To be visible, To seem, To be in sight",N4,4,N4 Lesson 4,modality,https://bunpro.jp/grammar_points/見える,source-indexed
jp-g-0203,だす,だす →  だす,"To suddenly begin, To start doing",N4,4,N4 Lesson 4,general,https://bunpro.jp/grammar_points/だす,source-indexed
jp-g-0204,代,～代 →  だい,"Teens, Twenties, Thirties, 1910s, 20s/30s",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/代,source-indexed
jp-g-0205,number-も,Number + も,"Emphasis, As ~ as, Not even",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/number-も,source-indexed
jp-g-0206,ほとんど,ほとんど →  ほとんど,"Almost all, Most, Hardly any, Few (Adverbial noun)",N4,5,N4 Lesson 5,verb-form,https://bunpro.jp/grammar_points/ほとんど,source-indexed
jp-g-0207,そんな-こんな-あんな-どんな,そんな・こんな・あんな・どんな →  そんな,"Such a・Kind of, Something like ~",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/そんな-こんな-あんな-どんな,source-indexed
jp-g-0208,各,各 →  かく,"Each, Every, Respective, Various",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/各,source-indexed
jp-g-0209,以上1,以上 ① →  いじょう ①,"More than (or equal to), Over・(and) above, Any more・Greater, Exceeding",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/以上1,source-indexed
jp-g-0210,いか,いか →  いか,"Less than (or equal to), Under・(and) below, Any less・fewer, Not exceeding",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/いか,source-indexed
jp-g-0211,いがい,いがい →  いがい,"Except・besides, Other than, With the exception of",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/いがい,source-indexed
jp-g-0212,ずっと1,ずっと ①,"Continuously, All throughout, Entire time, Ever (since), The whole time, All the way",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/ずっと1,source-indexed
jp-g-0213,だいたい,だいたい →  だいたい,"Most・mostly, Adequately・generally, For the most part, Roughly・approximately, In the first place",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/だいたい,source-indexed
jp-g-0214,のなかで,のなかで →  のなかで,"In, Among, Within",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/のなかで,source-indexed
jp-g-0215,ように-ような,ように・ような →  よう + に・な,"As・like, Just like",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/ように-ような,source-indexed
jp-g-0216,number-amount-は,Number/Amount + は →  (Amount) + は,"At least, Sort of, Or so",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/number-amount-は,source-indexed
jp-g-0217,なん-counter-か,なん + counter + か →  なん + (Counter) + か,"Some, Several, A few",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/なん-counter-か,source-indexed
jp-g-0218,真(っ),真(っ) →  まっ,"Completely, Exactly, Right",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/真(っ),source-indexed
jp-g-0219,number-しか-ない,Number + しか〜ない →  (Number) + しか〜ない,"No more than, Not exceeding, As few as・as little as, Only",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/number-しか-ない,source-indexed
jp-g-0220,は-の一つだ,～は～の一つだ →  は～のひとつだ,〜 is one of (many) 〜,N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/は-の一つだ,source-indexed
jp-g-0221,ない-はない,～ない～はない →  ない～はない,There is not ~ that is not/does not,N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/ない-はない,source-indexed
jp-g-0222,すこしも-ない,すこしも～ない →  すこしも～ない,"Not even a little, Not at all, Not in the least, Never",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/すこしも-ない,source-indexed
jp-g-0223,すくなくない,すくなくない →  すくなくない,"Quite a few, Quite a lot, Many, Not a few, Not a little",N4,5,N4 Lesson 5,general,https://bunpro.jp/grammar_points/すくなくない,source-indexed
jp-g-0224,ばあいは,ばあいは →  ばあいは,"In the event of, In the case of",N4,6,N4 Lesson 6,general,https://bunpro.jp/grammar_points/ばあいは,source-indexed
jp-g-0225,verbて-request,Verb[て] →  ～て (Casual Request),Please do for me (Casual request),N4,6,N4 Lesson 6,verb-form,https://bunpro.jp/grammar_points/verbて-request,source-indexed
jp-g-0226,てよかった,てよかった →  ～てよかった,I'm glad that,N4,6,N4 Lesson 6,general,https://bunpro.jp/grammar_points/てよかった,source-indexed
jp-g-0227,causative,Verb［せる・させる］ →  せる・させる (Causative),To make/let/have (somebody do something),N4,6,N4 Lesson 6,verb-form,https://bunpro.jp/grammar_points/causative,source-indexed
jp-g-0228,といってもいい,といってもいい →  といってもいい,"You could say, You might say",N4,6,N4 Lesson 6,modality,https://bunpro.jp/grammar_points/といってもいい,source-indexed
jp-g-0229,ても,ても →  ～ても・でも,"Even if, Even though",N4,6,N4 Lesson 6,conditional,https://bunpro.jp/grammar_points/ても,source-indexed
jp-g-0230,てしまう-ちゃう,てしまう・ちゃう →  ～てしまう,"To do something by accident, To finish completely・totally, Unfortunately",N4,6,N4 Lesson 6,general,https://bunpro.jp/grammar_points/てしまう-ちゃう,source-indexed
jp-g-0231,verbて-b2,Verb[て] + B →  ～て (Reasons and Causes),"And・and so, Due to, Because of, Since, Conjunctive",N4,6,N4 Lesson 6,verb-form,https://bunpro.jp/grammar_points/verbて-b2,source-indexed
jp-g-0232,causative-passive,Causative-Passive →  させられる (Causative-Passive),"Verbs (Causative-passive voice), To be made to do something, To be forced to do",N4,6,N4 Lesson 6,verb-form,https://bunpro.jp/grammar_points/causative-passive,source-indexed
jp-g-0233,verb-て-noun-で-b,Verb[て]・Noun[で] + B →  ～て (Means and Manner),"By, With, On, By means of, ~ing with",N4,6,N4 Lesson 6,verb-form,https://bunpro.jp/grammar_points/verb-て-noun-で-b,source-indexed
jp-g-0234,てある,てある  → ～てある,"Something is done, Has been done, Remaining state",N4,6,N4 Lesson 6,general,https://bunpro.jp/grammar_points/てある,source-indexed
jp-g-0235,ように-てほしい,ように～てほしい →  ように～てほしい,"Want ~ to ~ like ~, Want ~ to be able to ~, Want ~ to ~ in the way of ~",N4,6,N4 Lesson 6,general,https://bunpro.jp/grammar_points/ように-てほしい,source-indexed
jp-g-0236,ているあいだに,ているあいだに →  ～ているあいだに,"While, During the time that ~",N4,6,N4 Lesson 6,general,https://bunpro.jp/grammar_points/ているあいだに,source-indexed
jp-g-0237,なくてもいい,なくてもいい,Don't have to,N4,6,N4 Lesson 6,general,https://bunpro.jp/grammar_points/なくてもいい,source-indexed
jp-g-0238,てみる,てみる →  ～てみる,To try to,N4,6,N4 Lesson 6,general,https://bunpro.jp/grammar_points/てみる,source-indexed
jp-g-0239,てすみません,てすみません →  ～てすみません,I'm sorry for,N4,6,N4 Lesson 6,general,https://bunpro.jp/grammar_points/てすみません,source-indexed
jp-g-0240,てあげる,てあげる →  ～てあげる,"To do something for someone, As a favor for",N4,7,N4 Lesson 7,general,https://bunpro.jp/grammar_points/てあげる,source-indexed
jp-g-0241,てくれる,てくれる →  ～てくれる,To do something for someone (usually you),N4,7,N4 Lesson 7,general,https://bunpro.jp/grammar_points/てくれる,source-indexed
jp-g-0242,てもらう,てもらう →  ～てもらう,"To get someone to do, To have someone do",N4,7,N4 Lesson 7,general,https://bunpro.jp/grammar_points/てもらう,source-indexed
jp-g-0243,なさい,なさい,Command to do,N4,7,N4 Lesson 7,general,https://bunpro.jp/grammar_points/なさい,source-indexed
jp-g-0244,verbて-b,Verb[て] + B →  ～て (Non-Sequence),"Non-sequence, And, But (Contrast), Parallel action/state",N4,7,N4 Lesson 7,verb-form,https://bunpro.jp/grammar_points/verbて-b,source-indexed
jp-g-0245,verb-ないで,Verb[ないで] →  ないで (Casual Request),"(Please) do not (for me), Casual request",N4,7,N4 Lesson 7,verb-form,https://bunpro.jp/grammar_points/verb-ないで,source-indexed
jp-g-0246,てくれてありがとう,てくれてありがとう →  ～てくれてありがとう,Thank you for ~ ing,N4,7,N4 Lesson 7,general,https://bunpro.jp/grammar_points/てくれてありがとう,source-indexed
jp-g-0247,てくれない-てもらえない,てくれない・てもらえない →  ～て + くれない,"Won't you?, Will you?, Could you?, Can you?, Would you?",N4,7,N4 Lesson 7,general,https://bunpro.jp/grammar_points/てくれない-てもらえない,source-indexed
jp-g-0248,のだろうか,～のだろうか →  のだろうか,I wonder...,N4,7,N4 Lesson 7,general,https://bunpro.jp/grammar_points/のだろうか,source-indexed
jp-g-0249,お-になる,お～になる  → お～になる,To do (Honorific),N4,7,N4 Lesson 7,conditional,https://bunpro.jp/grammar_points/お-になる,source-indexed
jp-g-0250,なさる,なさる,To do (Honorific),N4,7,N4 Lesson 7,conditional,https://bunpro.jp/grammar_points/なさる,source-indexed
jp-g-0251,お-ください,お～ください  → お～ください,Please do (Honorific),N4,7,N4 Lesson 7,conditional,https://bunpro.jp/grammar_points/お-ください,source-indexed
jp-g-0252,いらっしゃる,いらっしゃる,"To be (Honorific), To come (Honorific), To go (Honorific)",N4,7,N4 Lesson 7,conditional,https://bunpro.jp/grammar_points/いらっしゃる,source-indexed
jp-g-0253,ございます,ございます →  ございます,"To be, To exist (Polite)",N4,7,N4 Lesson 7,register,https://bunpro.jp/grammar_points/ございます,source-indexed
jp-g-0254,でございます,でございます →  でございます,"To be, Polite copula",N4,7,N4 Lesson 7,register,https://bunpro.jp/grammar_points/でございます,source-indexed
jp-g-0255,お-する,お〜する,"I humbly do, I am obliged to do, Humble speech",N4,7,N4 Lesson 7,register,https://bunpro.jp/grammar_points/お-する,source-indexed
jp-g-0256,いたす,いたす →  いたす,"To do (Humble), To venerably do",N4,7,N4 Lesson 7,register,https://bunpro.jp/grammar_points/いたす,source-indexed
jp-g-0257,ていただけませんか,ていただけませんか →  ～ていただけませんか,"Won't you, Could you please (Humble request)",N4,7,N4 Lesson 7,register,https://bunpro.jp/grammar_points/ていただけませんか,source-indexed
jp-g-0258,たら,たら,"When, From when, Just when, If",N4,8,N4 Lesson 8,conditional,https://bunpro.jp/grammar_points/たら,source-indexed
jp-g-0259,ほかにも-ほかには,ほかに(も)・ほか(に)は →  ほかに,"Other, Another, Any other, Anything else, As well as, Besides, In addition",N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/ほかにも-ほかには,source-indexed
jp-g-0260,がひつよう,がひつよう →  がひつよう,"Need, Necessary",N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/がひつよう,source-indexed
jp-g-0261,そんなに,そんなに,"So (much), That much, Like that",N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/そんなに,source-indexed
jp-g-0262,ひつようがある,ひつようがある →  ひつようがある,It is necessary to,N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/ひつようがある,source-indexed
jp-g-0263,たとえば,たとえば →  たとえば,For example,N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/たとえば,source-indexed
jp-g-0264,Verb[potential],れる・られる (Potential),"To be able, Can (Potential)",N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/Verb[potential],source-indexed
jp-g-0265,んだけど-んですが,んだけど・んですが →  んだけど,"But..., And...",N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/んだけど-んですが,source-indexed
jp-g-0266,はずだ,はずだ →  はずだ,"Bound to (be), Expected to (be), Should be (able)",N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/はずだ,source-indexed
jp-g-0267,かどうか,かどうか,"Whether or not, If...or not",N4,8,N4 Lesson 8,conditional,https://bunpro.jp/grammar_points/かどうか,source-indexed
jp-g-0268,と-conditional,と,"If, When, Whenever, And, [Conditional]",N4,8,N4 Lesson 8,conditional,https://bunpro.jp/grammar_points/と-conditional,source-indexed
jp-g-0269,ないと,ないと,"Must, Have to",N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/ないと,source-indexed
jp-g-0270,はずがない,はずがない →  はずがない,"Hardly possible, Cannot be, Highly unlikely, Improbable",N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/はずがない,source-indexed
jp-g-0271,しか-ない,しか～ない  → しか～ない,"There's only, Nothing but",N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/しか-ない,source-indexed
jp-g-0272,だけでなく,だけでなく,Not only… but also,N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/だけでなく,source-indexed
jp-g-0273,ことができる,ことができる →  ことができる,"Can, Be able to",N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/ことができる,source-indexed
jp-g-0274,かい,かい,Question marker,N4,8,N4 Lesson 8,general,https://bunpro.jp/grammar_points/かい,source-indexed
jp-g-0275,もし,もし,If (For emphasis),N4,8,N4 Lesson 8,conditional,https://bunpro.jp/grammar_points/もし,source-indexed
jp-g-0276,し-し,し～し  → し (Reasons),"And, Giving reasons",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/し-し,source-indexed
jp-g-0277,でできる-からできる,でできる・からできる →  でできる,"Made of, Made from, Produced from, Come from",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/でできる-からできる,source-indexed
jp-g-0278,ながら,ながら,"While ~ing, During, As",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/ながら,source-indexed
jp-g-0279,たところだ,たところだ →  ～たところだ,"Just finished doing, Was just doing",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/たところだ,source-indexed
jp-g-0280,ているところだ,ているところだ →  ～ているところだ,In the process of doing ~ right now/at this moment,N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/ているところだ,source-indexed
jp-g-0281,と-と-どちらが,と～と、どちらが,Between ~ which one,N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/と-と-どちらが,source-indexed
jp-g-0282,ようにする,ようにする →  ようにする,"To try to, To make sure to, To endeavor to",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/ようにする,source-indexed
jp-g-0283,なければいけない,なければいけない,"Must do, Have to do",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/なければいけない,source-indexed
jp-g-0284,なければならない,なければならない,"Must do, Have to do",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/なければならない,source-indexed
jp-g-0285,つづける,つづける →  つづける,To continue,N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/つづける,source-indexed
jp-g-0286,ようにいう,ようにいう →  ようにいう,"To tell, request, or order to do (in such a way)",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/ようにいう,source-indexed
jp-g-0287,よていだ,よていだ →  よていだ,"Plan to, Intend to",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/よていだ,source-indexed
jp-g-0288,ようにいのる,ようにいのる →  ようにいのる,"Pray that/for, Hope that/for, Keep fingers crossed that",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/ようにいのる,source-indexed
jp-g-0289,たばかり,たばかり →  ～たばかり,"Just did, Something just happened",N4,9,N4 Lesson 9,general,https://bunpro.jp/grammar_points/たばかり,source-indexed
jp-g-0290,化する,化する →  かする,"-ification, -ization, To make something, To change, To become, Transform into",N4,9,N4 Lesson 9,conditional,https://bunpro.jp/grammar_points/化する,source-indexed
jp-g-0291,命令形,命令形 →  めいれいけい,"(Verb)!, Do (something)!",N4,9,N4 Lesson 9,verb-form,https://bunpro.jp/grammar_points/命令形,source-indexed
jp-g-0292,ように,ように →  ように,"So that, In order to, In such a way that",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/ように,source-indexed
jp-g-0293,かしら,かしら,I wonder,N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/かしら,source-indexed
jp-g-0294,らしい2,らしい ②,"typical of, -ish・like, appropriate for, becoming of, befitting",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/らしい2,source-indexed
jp-g-0295,にみえる,にみえる,"To look, To seem, To appear",N4,10,N4 Lesson 10,modality,https://bunpro.jp/grammar_points/にみえる,source-indexed
jp-g-0296,とみえる,とみえる →  とみえる,"It seems that, It can be deduced, One can conclude that",N4,10,N4 Lesson 10,modality,https://bunpro.jp/grammar_points/とみえる,source-indexed
jp-g-0297,風,風 →  ふう,"-style, Way, Fashion",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/風,source-indexed
jp-g-0298,がみられる,がみられる →  がみられる,"Can see, Can be seen, Can observe, Can be observed, Be evident, Chance to see something",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/がみられる,source-indexed
jp-g-0299,にきがつく,にきがつく →  にきがつく,"To notice (that), To realize (that)",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/にきがつく,source-indexed
jp-g-0300,でも-でも,〜でも 〜でも →  でも〜でも,"Whether ~ or, Neither ~ or",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/でも-でも,source-indexed
jp-g-0301,それに,それに,"And, Besides, Moreover, In addition",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/それに,source-indexed
jp-g-0302,それで,それで,"Because of that, So?, And then?, Therefore, With that",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/それで,source-indexed
jp-g-0303,question-phrase-か,Question-phrase + か →  (Question-Phrase) + か,Including questions within sentences,N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/question-phrase-か,source-indexed
jp-g-0304,それでも,それでも,"But still, And yet, Even so, Nevertheless",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/それでも,source-indexed
jp-g-0305,たらどう,たらどう,"Why don't you...?, What if you did...?",N4,10,N4 Lesson 10,conditional,https://bunpro.jp/grammar_points/たらどう,source-indexed
jp-g-0306,とかんがえられている,とかんがえられている →  とかんがえられている,"Is considered, Is thought of as",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/とかんがえられている,source-indexed
jp-g-0307,とされている,とされている,"To be considered, To be deemed, Be regarded as, Be accepted as, To be said, To be accredited with",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/とされている,source-indexed
jp-g-0308,といわれている,といわれている →  といわれている,"It is said that, Is known as",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/といわれている,source-indexed
jp-g-0309,ばよかった,ばよかった →  ばよかった,"Should have, I wish, It would have been better to",N4,10,N4 Lesson 10,general,https://bunpro.jp/grammar_points/ばよかった,source-indexed
jp-g-0310,ばいい,ばいい,"Can, Should, It'd be good if",N3,1,N3 Lesson 1,conditional,https://bunpro.jp/grammar_points/ばいい,source-indexed
jp-g-0311,たらいい-といい,たらいい・といい,"It would be nice if, It would be good if, Should, I hope",N3,1,N3 Lesson 1,conditional,https://bunpro.jp/grammar_points/たらいい-といい,source-indexed
jp-g-0312,中,中 →  ちゅう,"During, While, Throughout, In the process of",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/中,source-indexed
jp-g-0313,の間に,の間に →  のあいだに,"While, During, Between, Period",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/の間に,source-indexed
jp-g-0314,うちに,うちに →  うちに,"While, During",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/うちに,source-indexed
jp-g-0315,ないうちに,ないうちに →  ないうちに,"Before it becomes, Before ~ occurs, Without",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/ないうちに,source-indexed
jp-g-0316,べき,べき,"Must, Should , Ought to",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/べき,source-indexed
jp-g-0317,べきではない,べきではない,"Should not, Must not , Ought not to",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/べきではない,source-indexed
jp-g-0318,って-slang,って,"As for, Speaking of, Casual は (Sentence topic marker)",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/って-slang,source-indexed
jp-g-0319,なかなか,なかなか →  なかなか,"Very, Quite, Considerably",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/なかなか,source-indexed
jp-g-0320,あまり,あまり →  あまり,So much...that,N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/あまり,source-indexed
jp-g-0321,なかなか-ない,なかなか～ない →  なかなか～ない,"Not really, Hardly, Not easily or readily, By no means, Far from",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/なかなか-ない,source-indexed
jp-g-0322,によると-によれば,によると・によれば →  によると,According to,N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/によると-によれば,source-indexed
jp-g-0323,によって-による,によって・による →  による,"By means of, According to, Depending on, Because of, Due to",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/によって-による,source-indexed
jp-g-0324,全く-ない,全く～ない →  まったく～ない,Not~at all,N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/全く-ない,source-indexed
jp-g-0325,ことだ,ことだ →  ことだ,"Should, Ought",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/ことだ,source-indexed
jp-g-0326,そうだ,そうだ,"I heard that, It is said that",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/そうだ,source-indexed
jp-g-0327,すると,すると,"Having done..., If...is done..., (And/just) then, Thereupon, If so",N3,1,N3 Lesson 1,conditional,https://bunpro.jp/grammar_points/すると,source-indexed
jp-g-0328,そうすると,そうすると,"Having done that..., If that is done..., (And/just) then, Thereupon, If so",N3,1,N3 Lesson 1,conditional,https://bunpro.jp/grammar_points/そうすると,source-indexed
jp-g-0329,のはxの方だ,のはXの方だ →  のは～のほうだ,"It is...that..., It is...who..., ...is the one that..., ...is the one who...",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/のはxの方だ,source-indexed
jp-g-0330,noun-型,Noun＋型 →  (Noun) + がた,"Model, Type, Pattern, Kind, Shape, Size(d)",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/noun-型,source-indexed
jp-g-0331,てごらん,てごらん →  てごらん,"(Please) try to, (Please) look",N3,1,N3 Lesson 1,general,https://bunpro.jp/grammar_points/てごらん,source-indexed
jp-g-0332,particle-の,Particle + の →  (Particle) + の,Combined particles,N3,2,N3 Lesson 2,particle,https://bunpro.jp/grammar_points/particle-の,source-indexed
jp-g-0333,である,である,"Formal or literary だ, Authoritative, Copula",N3,2,N3 Lesson 2,general,https://bunpro.jp/grammar_points/である,source-indexed
jp-g-0334,ところが,ところが,"Even so, However, Even though, But",N3,2,N3 Lesson 2,general,https://bunpro.jp/grammar_points/ところが,source-indexed
jp-g-0335,ところで,ところで,"By the way, Incidentally",N3,2,N3 Lesson 2,general,https://bunpro.jp/grammar_points/ところで,source-indexed
jp-g-0336,ほど,ほど →  ほど,"The more, About, To the extent that, So much… that",N3,2,N3 Lesson 2,general,https://bunpro.jp/grammar_points/ほど,source-indexed
jp-g-0337,ば-ほど,ば〜ほど →  ば～ほど,The more…the more,N3,2,N3 Lesson 2,general,https://bunpro.jp/grammar_points/ば-ほど,source-indexed
jp-g-0338,ほど～ない,ほど～ない →  ほど～ない,"Is not as…as, Isn't... like..., Not to the extent of...",N3,2,N3 Lesson 2,general,https://bunpro.jp/grammar_points/ほど～ない,source-indexed
jp-g-0339,では-それでは-じゃあ,では・それでは・じゃあ →  それでは,"If so, Well (then), In that case",N3,2,N3 Lesson 2,conditional,https://bunpro.jp/grammar_points/では-それでは-じゃあ,source-indexed
jp-g-0340,のに,のに,In order to,N3,2,N3 Lesson 2,general,https://bunpro.jp/grammar_points/のに,source-indexed
jp-g-0341,ため-に,ため(に) →  ために,"For, For the sake of, In order to",N3,2,N3 Lesson 2,general,https://bunpro.jp/grammar_points/ため-に,source-indexed
jp-g-0342,ために,ために →  ために,"Due to, Because of, As a result of",N3,2,N3 Lesson 2,general,https://bunpro.jp/grammar_points/ために,source-indexed
