id,slug,pattern,meaning,level,lesson,course_group,category,source_url,verification
jp-g-0045,る-verb-past,る-Verb (Past),る - Verbs (Past tense),N5,4,N5 Lesson 4,verb-form,https://bunpro.jp/grammar_points/る-verb-past,source-indexed
jp-g-0046,う-verb-past,う-Verb (Past),う - Verbs (Past tense),N5,4,N5 Lesson 4,verb-form,https://bunpro.jp/grammar_points/う-verb-past,source-indexed
jp-g-0047,すき,好き →  すき,"Like, Fond of",N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/すき,source-indexed
jp-g-0048,きらい,きらい →  きらい,"Dislike, Not fond of",N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/きらい,source-indexed
jp-g-0049,のがすき,のがすき →  のがすき,"Like doing, Love doing",N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/のがすき,source-indexed
jp-g-0050,がある-noun,がある + Noun →  がある + (Noun),"Noun (B) that has Noun (A), Noun (B) with Noun (A)",N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/がある-noun,source-indexed
jp-g-0051,negative-い-adjectives,い-Adjectives くない →  くない,Not (Adjective),N5,4,N5 Lesson 4,general,https://bunpro.jp/grammar_points/negative-い-adjectives,source-indexed
jp-g-0052,で-by,で,"With, By (using)",N5,5,N5 Lesson 5,general,https://bunpro.jp/grammar_points/で-by,source-indexed
jp-g-0053,ので,ので,"Because, So, Since, The reason being",N5,5,N5 Lesson 5,general,https://bunpro.jp/grammar_points/ので,source-indexed
jp-g-0054,から-because,から,"Because, Since",N5,5,N5 Lesson 5,general,https://bunpro.jp/grammar_points/から-because,source-indexed
jp-g-0055,から,から,From,N5,5,N5 Lesson 5,general,https://bunpro.jp/grammar_points/から,source-indexed
jp-g-0056,けど-だけど,けど・だけど →  けど,"But, However",N5,5,N5 Lesson 5,general,https://bunpro.jp/grammar_points/けど-だけど,source-indexed
jp-g-0057,が-but,が,"But, However",N5,5,N5 Lesson 5,general,https://bunpro.jp/grammar_points/が-but,source-indexed
jp-g-0058,る-verb-neg-past,る-Verb (Negative-Past),る - Verbs (Negative-past tense),N5,5,N5 Lesson 5,verb-form,https://bunpro.jp/grammar_points/る-verb-neg-past,source-indexed
jp-g-0059,う-verb-neg-past,う-Verb (Negative-Past),う - Verbs (Negative-past tense),N5,5,N5 Lesson 5,verb-form,https://bunpro.jp/grammar_points/う-verb-neg-past,source-indexed
jp-g-0060,verb-て,Verb + て →  ～て (Conjunction),"And, Then (Linking events)",N5,5,N5 Lesson 5,verb-form,https://bunpro.jp/grammar_points/verb-て,source-indexed
jp-g-0061,ている1,ている① →  ～ている ①,"Is, Am, Are (~ing)",N5,5,N5 Lesson 5,general,https://bunpro.jp/grammar_points/ている1,source-indexed
jp-g-0062,へ,へ,"To, Toward",N5,5,N5 Lesson 5,general,https://bunpro.jp/grammar_points/へ,source-indexed
jp-g-0063,verb-にいく,Verb + にいく →  ～にいく,"To go ~, To go in order to ~",N5,5,N5 Lesson 5,verb-form,https://bunpro.jp/grammar_points/verb-にいく,source-indexed
jp-g-0064,だれ,誰 →  だれ,Who,N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/だれ,source-indexed
jp-g-0065,なぜ,なぜ,Why,N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/なぜ,source-indexed
jp-g-0066,どうして,どうして,Why,N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/どうして,source-indexed
jp-g-0067,なんで,なんで,Why,N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/なんで,source-indexed
jp-g-0068,い-adjective-predicate,い-Adjective (Predicate) →  い-Adjective + です (Predicate),い-Adjective (Predicate),N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/い-adjective-predicate,source-indexed
jp-g-0069,な-adjective-predicate,な-Adjective だ →  な-Adjective + だ (Predicate),な-Adjective (Predicate),N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/な-adjective-predicate,source-indexed
jp-g-0070,だった-でした,だった・でした,"Was, Were (Past tense)",N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/だった-でした,source-indexed
jp-g-0071,じゃない,じゃない,"Is not, Isn't",N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/じゃない,source-indexed
jp-g-0072,じゃなかった,じゃなかった,"Was not, Wasn't",N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/じゃなかった,source-indexed
jp-g-0073,い-Adjective-くなかった,い-Adjective くなかった →  くなかった,"Was not, Wasn't (Adjective)",N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/い-Adjective-くなかった,source-indexed
jp-g-0074,と,と,Quotation,N5,6,N5 Lesson 6,particle,https://bunpro.jp/grammar_points/と,source-indexed
jp-g-0075,って,って,Casual quotation,N5,6,N5 Lesson 6,particle,https://bunpro.jp/grammar_points/って,source-indexed
jp-g-0077,verb-た-noun,Verb［た・ている］+ Noun →  ～た + (Noun),"Verb modified noun, Relative clause",N5,6,N5 Lesson 6,verb-form,https://bunpro.jp/grammar_points/verb-た-noun,source-indexed
jp-g-0078,の-noun-ommission,の,Possessive use (Noun omission),N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/の-noun-ommission,source-indexed
jp-g-0079,な,な →  な (Prohibitive),"Do not, Don't (Prohibitive)",N5,6,N5 Lesson 6,general,https://bunpro.jp/grammar_points/な,source-indexed
jp-g-0080,だけ,だけ,"Only, Just",N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/だけ,source-indexed
jp-g-0081,どれ,どれ,Which (of three or more),N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/どれ,source-indexed
jp-g-0082,どこ,どこ,Where,N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/どこ,source-indexed
jp-g-0083,どの,どの,"Which (of three or more), What (kind)",N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/どの,source-indexed
jp-g-0084,ている2,ている② →  ～ている ②,"State of being, Has (have) done",N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/ている2,source-indexed
jp-g-0085,てから,てから →  ～てから,"Once...is done, Once...happens, After doing",N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/てから,source-indexed
jp-g-0086,verb-て-b,Verb + て+ B →  ～て (Sequence),"And, And then, After that (sequence)",N5,7,N5 Lesson 7,verb-form,https://bunpro.jp/grammar_points/verb-て-b,source-indexed
jp-g-0087,もう,もう,"Already, Anymore",N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/もう,source-indexed
jp-g-0088,まだ,まだ,Still,N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/まだ,source-indexed
jp-g-0089,まだ-ていません,まだ～ていません,Still haven't done (something),N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/まだ-ていません,source-indexed
jp-g-0090,てもいい,てもいい →  ～てもいい,"It is alright/fine/okay even if, Can/may, ~ is also okay",N5,7,N5 Lesson 7,conditional,https://bunpro.jp/grammar_points/てもいい,source-indexed
jp-g-0091,たい,たい,Want to do,N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/たい,source-indexed
jp-g-0092,たり-たりする,たり～たりする,Things like ~ and ~,N5,7,N5 Lesson 7,general,https://bunpro.jp/grammar_points/たり-たりする,source-indexed
jp-g-0093,けっこう,けっこう →  けっこう,"Quite, A lot, Fairly, Rather",N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/けっこう,source-indexed
jp-g-0094,たくさん,たくさん →  たくさん,"Many, A lot of, Plenty, Enough",N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/たくさん,source-indexed
jp-g-0095,まえに,まえに →  まえに,"Before, In front of",N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/まえに,source-indexed
jp-g-0096,くらい1,くらい ①,"About, Approximately",N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/くらい1,source-indexed
jp-g-0097,noun-まで,Noun + まで,"Until, Till, To (but no further than)",N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/noun-まで,source-indexed
jp-g-0098,v-まで,Verb + まで,Until (something) happens,N5,8,N5 Lesson 8,verb-form,https://bunpro.jp/grammar_points/v-まで,source-indexed
jp-g-0099,すぎる,すぎる →  すぎる,"Too much, Very",N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/すぎる,source-indexed
jp-g-0100,にする,にする,"To decide on, To choose, To make something into, To view something as",N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/にする,source-indexed
jp-g-0101,になる-くなる,～になる・～くなる →  になる・くなる,To become (Adjective),N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/になる-くなる,source-indexed
jp-g-0102,のなかで-がいちばん,のなかで～がいちばん～ →  のなかで～がいちばん,"Out of ~, ~ is the best/most ~",N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/のなかで-がいちばん,source-indexed
jp-g-0103,より-のほうが,より～のほうが →  より～のほうが,To be more ~ than ~,N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/より-のほうが,source-indexed
jp-g-0104,なにか-なにも,なにか・なにも →  なに + か,"Something, Nothing, Anything, Not anything, Some kind of, Not any kind of",N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/なにか-なにも,source-indexed
jp-g-0105,誰か-どこか-誰も-どこも,誰か・どこか・誰も・どこも →  だれか・どこか・だれも・どこも,"Someone, Somewhere, Not anyone, Not anywhere",N5,8,N5 Lesson 8,general,https://bunpro.jp/grammar_points/誰か-どこか-誰も-どこも,source-indexed
jp-g-0106,ましょう,ましょう,"Let's, Shall we (Polite volitional)",N5,9,N5 Lesson 9,verb-form,https://bunpro.jp/grammar_points/ましょう,source-indexed
jp-g-0107,ましょうか,～ましょうか →  ましょうか,"Shall we, Shall I",N5,9,N5 Lesson 9,general,https://bunpro.jp/grammar_points/ましょうか,source-indexed
jp-g-0108,ませんか,ませんか,"Won't you, Would you not, Why don't we",N5,9,N5 Lesson 9,general,https://bunpro.jp/grammar_points/ませんか,source-indexed
jp-g-0109,verb-てもいい,Verb + てもいい →  ～てもいい (Verb),"It's okay to, It's alright to, Can/may",N5,9,N5 Lesson 9,verb-form,https://bunpro.jp/grammar_points/verb-てもいい,source-indexed
jp-g-0110,てください,てください →  ～てください,Please do (Polite request),N5,9,N5 Lesson 9,register,https://bunpro.jp/grammar_points/てください,source-indexed
jp-g-0111,ないでください,ないでください →  ～ないでください,Please don't (Polite request),N5,9,N5 Lesson 9,register,https://bunpro.jp/grammar_points/ないでください,source-indexed
jp-g-0112,てはいけない,てはいけない →  ～てはいけない,"Must not, May not",N5,9,N5 Lesson 9,general,https://bunpro.jp/grammar_points/てはいけない,source-indexed
jp-g-0113,なくてはいけない,なくてはいけない,"Must do, Have to do",N5,9,N5 Lesson 9,general,https://bunpro.jp/grammar_points/なくてはいけない,source-indexed
jp-g-0114,なくてはならない,なくてはならない,"Must do, Have to do",N5,9,N5 Lesson 9,general,https://bunpro.jp/grammar_points/なくてはならない,source-indexed
jp-g-0115,たほうがいい,たほうがいい →  ～たほうがいい,"It'd be better to, Should do",N5,9,N5 Lesson 9,general,https://bunpro.jp/grammar_points/たほうがいい,source-indexed
jp-g-0116,ないほうがいい,ないほうがいい →  ないほうがいい,"It'd be better not to, Shouldn't do",N5,9,N5 Lesson 9,general,https://bunpro.jp/grammar_points/ないほうがいい,source-indexed
jp-g-0117,なくちゃ-なきゃ,なくちゃ・なきゃ,"Must do, Have to do",N5,9,N5 Lesson 9,general,https://bunpro.jp/grammar_points/なくちゃ-なきゃ,source-indexed
jp-g-0118,や,や,"Things like, And the like",N5,9,N5 Lesson 9,general,https://bunpro.jp/grammar_points/や,source-indexed
jp-g-0119,たことがある,たことがある →  ～たことがある,Have done before,N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/たことがある,source-indexed
jp-g-0120,ている3,ている③ →  ～ている ③,"Has/have done, Is ~ing (Repetition)",N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/ている3,source-indexed
