id,expression,reading,meaning,level,topics,tags,source_name,source_row
jp-v-05362,故郷,こきょう,hometown,N2,,JLPT JLPT_2 JLPT_3,,5362
jp-v-05363,極,ごく,"quite, very",N2,,JLPT JLPT_2 JLPT_3,,5363
jp-v-05364,国語,こくご,national language,N2,,JLPT JLPT_2 JLPT_3,,5364
jp-v-05365,国籍,こくせき,nationality,N2,,JLPT JLPT_2 JLPT_3,,5365
jp-v-05366,黒板,こくばん,blackboard,N3,,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,,5366
jp-v-05367,克服,こくふく,"conquest, overcome",N2,,JLPT JLPT_2 JLPT_3,,5367
jp-v-05368,国民,こくみん,"national, people, citizen",N2,Family & people,JLPT JLPT_2 JLPT_3,,5368
jp-v-05369,穀物,こくもつ,"grain, cereal, corn",N2,Vegetables,JLPT JLPT_2 JLPT_3,,5369
jp-v-05370,腰,こし,"hip, waist",N2,,JLPT JLPT_2 JLPT_3,,5370
jp-v-05371,胡椒,こしょう,pepper,N2,Vegetables,JLPT JLPT_2 JLPT_3,,5371
jp-v-05372,個人,こじん,"individual, private person",N3,Family & people,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,,5372
jp-v-05373,越す,こす,"to go over (e.g., with audience)",N2,,JLPT JLPT_2 JLPT_3,,5373
jp-v-05374,超す,こす,"to cross, to pass, to tide over",N2,,JLPT JLPT_2 JLPT_3,,5374
jp-v-05375,国家,こっか,"state, country, nation",N2,,JLPT JLPT_2 JLPT_3,,5375
jp-v-05376,国会,こっかい,"National Diet, parliament, congress",N2,,JLPT JLPT_2 JLPT_3,,5376
jp-v-05377,国境,こっきょう,national or state border,N2,,JLPT JLPT_2 JLPT_3,,5377
jp-v-05378,骨折,こっせつ,bone fracture,N2,,JLPT JLPT_2 JLPT_3,,5378
jp-v-05379,小包,こづつみ,"parcel, package",N2,,JLPT JLPT_2 JLPT_3,,5379
jp-v-05380,琴,こと,Japanese harp,N2,,JLPT JLPT_2 JLPT_3,,5380
jp-v-05381,異なる,ことなる,"to differ, to vary",N2,,JLPT JLPT_2 JLPT_3,,5381
jp-v-05382,諺,ことわざ,"proverb, saying",N2,,JLPT JLPT_2 JLPT_3,,5382
jp-v-05383,断る,ことわる,"to refuse, to decline, to dismiss",N2,,JLPT JLPT_2 JLPT_3,,5383
jp-v-05384,粉,こな,"flour, powder",N2,Food & ingredients,JLPT JLPT_2 JLPT_3,,5384
jp-v-05385,好み,このみ,"liking, taste, choice",N2,,JLPT JLPT_2 JLPT_3,,5385
jp-v-05386,好む,このむ,"to like, to prefer",N2,,JLPT JLPT_2 JLPT_3,,5386
jp-v-05387,こぼす,こぼす,to spill,N2,,JLPT JLPT_2 JLPT_3,,5387
jp-v-05388,こぼれる,こぼれる,"to overflow, to spill",N2,,JLPT JLPT_2 JLPT_3,,5388
jp-v-05389,塵,ごみ,"garbage, litter",N2,Cleaning & laundry,JLPT JLPT_2 JLPT_3,,5389
jp-v-05390,小麦,こむぎ,wheat,N2,,JLPT JLPT_2 JLPT_3,,5390
jp-v-05391,ごめんなさい,ごめんなさい,"I beg your pardon, excuse me, I'm sorry",N3,,JLPT JLPT_3 JLPT_2 Genki_Ln.4 Genki,,5391
